,aes,consumption,consumptiongaespump,gesgaes,hour,tec,tes,vde,Дата
19,10591,24532,0,2747,19:00,2082,12011,11,04.01.2014
20,10577,23998,0,2160,20:00,2075,11984,23,04.01.2014
21,10449,23754,0,2117,21:00,2083,11924,23,04.01.2014
22,10463,23274,0,1765,22:00,2085,11876,21,04.01.2014
23,10445,21882,0,434,23:00,2090,11661,18,04.01.2014
24,10432,20684,0,372,24,2091,10681,20,04.01.2014
0,10432,20684,0,372,00:00,2091,10681,20,05.01.2014
1,10393,19493,0,704,01:00,1971,8913,13,05.01.2014
2,10427,18587,-488,295,02:00,1975,8993,13,05.01.2014
3,10407,18317,-488,91,03:00,1963,9003,15,05.01.2014
4,10480,18128,-711,83,04:00,1967,8646,17,05.01.2014
5,10568,18277,-707,68,05:00,1973,8711,18,05.01.2014
6,10602,18638,-311,316,06:00,1970,8414,60,05.01.2014
7,10555,18768,-92,302,07:00,2053,8573,63,05.01.2014
8,10814,19229,0,167,08:00,2064,8840,96,05.01.2014
9,10663,20338,0,568,09:00,2055,9797,117,05.01.2014
10,10543,21213,0,1014,10:00,2057,10329,112,05.01.2014
11,10599,21965,0,1454,11:00,2055,10658,132,05.01.2014
12,10592,22189,0,1724,12:00,2061,10574,101,05.01.2014
13,10618,22302,0,1584,13:00,2063,10704,89,05.01.2014
14,10616,22315,0,1458,14:00,2056,10848,86,05.01.2014
15,10625,22541,0,1366,15:00,2058,11055,77,05.01.2014
16,10551,23432,0,1979,16:00,2058,11410,69,05.01.2014
17,10602,24507,0,2941,17:00,2064,11570,84,05.01.2014
18,10612,24760,0,3111,18:00,2064,11611,83,05.01.2014
19,10616,24282,0,2674,19:00,2035,11586,76,05.01.2014
20,10619,23916,0,2232,20:00,2038,11535,76,05.01.2014
21,10629,23505,0,2051,21:00,2035,11468,81,05.01.2014
22,10583,22884,0,1722,22:00,2041,11384,71,05.01.2014
23,10594,21626,0,940,23:00,2036,10641,69,05.01.2014
24,10594,20264,0,692,24,2051,9778,69,05.01.2014
0,10594,20264,0,692,00:00,2051,9778,69,06.01.2014
1,10561,19154,-92,299,01:00,1963,9017,113,06.01.2014
2,10560,18488,-488,77,02:00,1970,8931,118,06.01.2014
3,10569,18129,-488,66,03:00,1966,8677,116,06.01.2014
4,10570,18051,-703,66,04:00,1958,8757,116,06.01.2014
5,10575,18277,-695,67,05:00,1971,8978,117,06.01.2014
6,10582,18743,-219,84,06:00,1955,9171,121,06.01.2014
7,10591,19430,0,72,07:00,2056,9938,125,06.01.2014
8,10545,20022,0,76,08:00,2054,10427,115,06.01.2014
9,10579,21337,0,996,09:00,2058,10357,157,06.01.2014
10,10588,22489,0,1879,10:00,2058,10647,164,06.01.2014
11,10599,23238,0,1932,11:00,2058,11501,218,06.01.2014
12,10619,23477,0,1624,12:00,2065,12134,189,06.01.2014
13,10591,23448,0,1589,13:00,2066,12193,175,06.01.2014
14,10619,23402,0,1385,14:00,2074,12368,214,06.01.2014
15,10611,23484,0,1385,15:00,2061,12547,169,06.01.2014
16,10567,24056,0,1577,16:00,2059,12459,143,06.01.2014
17,10575,24718,0,3476,17:00,2062,11519,135,06.01.2014
18,10554,24099,0,3274,18:00,2062,11351,110,06.01.2014
19,10578,23160,0,3124,19:00,2062,10226,108,06.01.2014
20,10561,22536,0,2749,20:00,2070,9924,107,06.01.2014
21,10593,22263,0,2333,21:00,2055,10112,108,06.01.2014
22,10585,21956,0,1163,22:00,2056,11425,107,06.01.2014
23,10599,20997,0,792,23:00,2055,10648,54,06.01.2014
24,10591,20024,0,226,24,2052,10199,51,06.01.2014
0,10591,20024,0,226,00:00,2052,10199,51,07.01.2014
1,10592,18849,-92,443,01:00,1962,8805,41,07.01.2014
2,10590,18127,-311,187,02:00,1962,8391,136,07.01.2014
3,10611,17779,-707,292,03:00,1963,8322,95,07.01.2014
4,10607,17751,-707,275,04:00,1963,8303,90,07.01.2014
5,10586,17760,-480,214,05:00,1957,8254,87,07.01.2014
6,10577,17924,-388,207,06:00,1972,8363,97,07.01.2014
7,10600,18034,-392,184,07:00,1960,8405,92,07.01.2014
8,10580,18085,-388,195,08:00,1961,8389,105,07.01.2014
9,10593,18909,0,601,09:00,1978,8597,111,07.01.2014
10,10621,19479,0,819,10:00,2076,8980,121,07.01.2014
11,10610,20025,0,1271,11:00,2068,9130,138,07.01.2014
12,10607,20032,0,1090,12:00,2075,9280,220,07.01.2014
13,10609,20006,0,1123,13:00,2059,9140,202,07.01.2014
14,10606,19944,0,1034,14:00,2078,9089,199,07.01.2014
15,10603,19844,0,931,15:00,2070,8993,101,07.01.2014
16,10614,20668,0,1952,16:00,2081,9014,76,07.01.2014
17,10577,22020,0,3088,17:00,2069,9077,77,07.01.2014
18,10605,22290,0,3330,18:00,2066,9163,74,07.01.2014
19,10608,22198,0,3284,19:00,2074,9081,78,07.01.2014
20,10624,21948,0,3000,20:00,2075,9065,42,07.01.2014
21,10585,21833,0,2901,21:00,2070,9271,36,07.01.2014
22,10595,21426,0,1938,22:00,2076,9650,37,07.01.2014
23,10566,20526,0,1525,23:00,2068,9703,39,07.01.2014
24,10641,20242,-92,640,24,2019,10023,58,07.01.2014
0,10641,20242,-92,640,00:00,2019,10023,58,08.01.2014
1,10633,19083,-484,803,01:00,1888,8958,57,08.01.2014
2,10666,18438,-707,366,02:00,1893,8780,56,08.01.2014
3,10642,18166,-707,360,03:00,1888,8640,38,08.01.2014
4,10673,18097,-703,237,04:00,1886,8600,36,08.01.2014
5,10645,18267,-484,246,05:00,1886,8611,34,08.01.2014
6,10656,19039,0,352,06:00,1885,8805,34,08.01.2014
7,10613,20173,0,714,07:00,2016,9770,29,08.01.2014
8,10645,21075,0,1367,08:00,2002,9917,85,08.01.2014
9,10635,22453,0,1970,09:00,2028,10376,153,08.01.2014
10,10646,23093,0,2426,10:00,2040,10782,168,08.01.2014
11,10661,23328,0,2153,11:00,2022,11415,204,08.01.2014
12,10666,23163,0,2092,12:00,2018,11314,195,08.01.2014
13,10671,23144,0,1809,13:00,2024,11542,223,08.01.2014
14,10705,23034,0,1774,14:00,2023,11503,204,08.01.2014
15,10667,23199,0,1938,15:00,2028,11417,156,08.01.2014
16,10430,23825,0,2309,16:00,2031,11962,33,08.01.2014
17,10376,24737,0,3305,17:00,2030,12101,25,08.01.2014
18,10532,24834,0,3213,18:00,2029,12161,33,08.01.2014
19,10570,24315,0,3177,19:00,2025,11397,47,08.01.2014
20,10608,23945,0,2618,20:00,2025,11495,49,08.01.2014
21,10593,23550,0,2281,21:00,2024,11475,51,08.01.2014
22,10614,22874,0,1937,22:00,2021,11432,50,08.01.2014
23,10600,21575,0,1296,23:00,2019,10589,52,08.01.2014
24,10641,20242,-92,640,24,2019,10023,58,08.01.2014
0,10641,20242,-92,640,00:00,2019,10023,58,09.01.2014
1,10633,19083,-484,803,01:00,1888,8958,57,09.01.2014
2,10666,18438,-707,366,02:00,1893,8780,56,09.01.2014
3,10642,18166,-707,360,03:00,1888,8640,38,09.01.2014
4,10673,18097,-703,237,04:00,1886,8600,36,09.01.2014
5,10645,18267,-484,246,05:00,1886,8611,34,09.01.2014
6,10656,19039,0,352,06:00,1885,8805,34,09.01.2014
7,10613,20173,0,714,07:00,2016,9770,29,09.01.2014
8,10645,21075,0,1367,08:00,2002,9917,85,09.01.2014
9,10635,22453,0,1970,09:00,2028,10376,153,09.01.2014
10,10646,23093,0,2426,10:00,2040,10782,168,09.01.2014
11,10661,23328,0,2153,11:00,2022,11415,204,09.01.2014
12,10666,23163,0,2092,12:00,2018,11314,195,09.01.2014
13,10671,23143,0,1809,13:00,2024,11541,223,09.01.2014
14,10705,23034,0,1774,14:00,2023,11503,204,09.01.2014
15,10667,23198,0,1938,15:00,2028,11416,156,09.01.2014
16,10668,23881,0,2150,16:00,2027,11837,143,09.01.2014
17,10647,24850,0,3235,17:00,2030,11944,132,09.01.2014
18,10630,25011,0,3361,18:00,2025,12115,130,09.01.2014
19,10648,24641,0,3135,19:00,2035,11672,133,09.01.2014
20,10650,24050,0,2646,20:00,2035,11584,73,09.01.2014
21,10647,23559,0,2763,21:00,2032,10937,33,09.01.2014
22,10658,23061,0,2561,22:00,2035,10920,34,09.01.2014
23,10645,21616,0,1529,23:00,2040,10386,33,09.01.2014
24,10654,20457,-92,381,24,2038,10442,33,09.01.2014
0,10654,20457,-92,381,00:00,2038,10442,33,10.01.2014
1,10655,19330,-492,815,01:00,1897,9160,15,10.01.2014
2,10643,18578,-707,488,02:00,1903,8948,18,10.01.2014
3,10630,18284,-703,425,03:00,1901,8931,43,10.01.2014
4,10626,18295,-703,179,04:00,1899,8944,22,10.01.2014
5,10635,18594,-480,188,05:00,1897,9010,47,10.01.2014
6,10631,19292,0,493,06:00,1901,8930,58,10.01.2014
7,10637,20439,0,873,07:00,2025,9804,66,10.01.2014
8,10658,21481,0,1204,08:00,2033,10456,96,10.01.2014
9,10663,22840,0,1975,09:00,2034,10947,130,10.01.2014
10,10664,23636,0,2107,10:00,2026,11650,154,10.01.2014
11,10643,23954,0,2371,11:00,2031,11895,175,10.01.2014
12,10649,23864,0,1890,12:00,2030,12214,212,10.01.2014
13,10665,23943,0,1778,13:00,2024,12271,254,10.01.2014
14,10667,23914,0,2059,14:00,2023,12052,221,10.01.2014
15,10662,24099,0,2181,15:00,2013,12106,175,10.01.2014
16,10648,24494,0,2544,16:00,2021,12139,216,10.01.2014
17,10715,25213,0,3225,17:00,2018,12157,219,10.01.2014
18,10799,25437,0,3392,18:00,2021,12120,243,10.01.2014
19,10812,24891,0,3038,19:00,2017,11811,235,10.01.2014
20,10796,24204,0,2936,20:00,2013,11183,228,10.01.2014
21,10784,23642,0,2519,21:00,2020,11038,227,10.01.2014
22,10784,22948,0,2471,22:00,2022,10580,219,10.01.2014
23,10817,21858,0,1966,23:00,2017,10081,222,10.01.2014
24,10793,20477,-92,1350,24,2014,9507,218,10.01.2014
0,10793,20477,-92,1350,00:00,2014,9507,218,11.01.2014
1,10818,19516,-488,835,01:00,1893,9173,220,11.01.2014
2,10830,18699,-707,563,02:00,1898,8791,212,11.01.2014
3,10844,18360,-711,492,03:00,1888,8597,211,11.01.2014
4,10774,18332,-707,442,04:00,1898,8586,209,11.01.2014
5,10804,18443,-480,75,05:00,1896,8698,208,11.01.2014
6,10780,18917,-88,138,06:00,1899,8909,209,11.01.2014
7,10801,19609,0,322,07:00,2030,9346,210,11.01.2014
8,10784,20260,0,605,08:00,2018,9598,215,11.01.2014
9,10811,21487,0,1872,09:00,2039,9468,298,11.01.2014
10,10811,22364,0,2622,10:00,2034,9585,434,11.01.2014
11,10785,22844,0,2700,11:00,2026,10095,521,11.01.2014
12,10758,22636,0,2553,12:00,2030,10009,460,11.01.2014
13,10765,22770,0,2589,13:00,2039,10236,445,11.01.2014
14,10778,22632,0,2615,14:00,2033,10196,398,11.01.2014
15,10793,22866,0,2493,15:00,2033,10419,294,11.01.2014
16,10810,23413,0,2600,16:00,2042,10738,232,11.01.2014
17,10801,24708,0,3600,17:00,2037,11250,212,11.01.2014
18,10748,25031,0,3673,18:00,2034,11586,214,11.01.2014
19,10794,24469,0,3020,19:00,2032,11563,211,11.01.2014
20,10799,23742,0,2736,20:00,2041,10974,216,11.01.2014
21,10788,23274,0,2502,21:00,2031,10923,206,11.01.2014
22,10797,22709,0,2150,22:00,2035,10868,201,11.01.2014
23,10790,21412,0,1548,23:00,2035,10015,196,11.01.2014
24,10754,20318,0,654,24,2026,9717,193,11.01.2014
0,10754,20318,0,654,00:00,2026,9717,193,12.01.2014
1,10814,19212,0,509,01:00,1903,8763,139,12.01.2014
2,10858,18491,-488,227,02:00,1894,8651,143,12.01.2014
3,10855,18079,-703,138,03:00,1896,8709,167,12.01.2014
4,10832,18102,-703,90,04:00,1895,8579,164,12.01.2014
5,10782,18254,-703,210,05:00,1899,8648,158,12.01.2014
6,10797,18611,-488,221,06:00,1895,8788,160,12.01.2014
7,10831,18870,-488,307,07:00,2008,9002,94,12.01.2014
8,10778,18993,0,120,08:00,2007,8957,107,12.01.2014
9,10872,20255,0,1227,09:00,2003,9051,147,12.01.2014
10,10904,21033,0,1608,10:00,2020,9423,207,12.01.2014
11,10884,21652,0,1914,11:00,2020,9775,190,12.01.2014
12,10904,21745,0,1747,12:00,2006,9955,272,12.01.2014
13,10878,21831,0,1704,13:00,2015,9983,345,12.01.2014
14,10876,21835,0,1858,14:00,2054,9849,315,12.01.2014
15,10919,22070,0,2004,15:00,2044,9868,278,12.01.2014
16,10882,22896,0,2845,16:00,2045,9837,290,12.01.2014
17,10893,24159,0,3890,17:00,2054,10079,272,12.01.2014
18,10945,24490,0,3957,18:00,2057,10458,265,12.01.2014
19,10901,24202,0,3441,19:00,2055,10477,263,12.01.2014
20,10937,23806,0,2843,20:00,2067,10694,261,12.01.2014
21,10920,23436,0,2606,21:00,2071,10757,258,12.01.2014
22,10957,22777,0,2170,22:00,2077,10676,257,12.01.2014
23,10937,21211,0,1584,23:00,2073,9883,257,12.01.2014
24,10903,19981,0,1121,24,2066,9021,256,12.01.2014
0,10903,19981,0,1121,00:00,2066,9021,256,13.01.2014
1,10915,18929,-488,453,01:00,1934,8759,259,13.01.2014
2,10962,18373,-707,219,02:00,1949,8771,264,13.01.2014
3,10932,18168,-703,219,03:00,1909,8564,261,13.01.2014
4,10929,18160,-699,117,04:00,1899,8538,248,13.01.2014
5,10998,18548,-472,116,05:00,1945,8591,249,13.01.2014
6,11147,19422,0,139,06:00,1944,8969,248,13.01.2014
7,11267,21326,0,1265,07:00,2060,9604,240,13.01.2014
8,11294,22516,0,1362,08:00,2061,10584,259,13.01.2014
9,11293,23715,0,2178,09:00,2062,10864,319,13.01.2014
10,11315,24318,0,2533,10:00,2054,11028,403,13.01.2014
11,11309,24650,0,2859,11:00,2040,11173,507,13.01.2014
12,11316,24465,0,2467,12:00,2061,11258,507,13.01.2014
13,11320,24532,0,2519,13:00,2064,11273,419,13.01.2014
14,11325,24597,0,2697,14:00,2059,11282,367,13.01.2014
15,11310,24572,0,2668,15:00,2056,11360,299,13.01.2014
16,11308,25061,0,2811,16:00,2069,11643,246,13.01.2014
17,11314,26017,0,3450,17:00,2065,12233,212,13.01.2014
18,11307,26224,0,3373,18:00,2059,12560,205,13.01.2014
19,11286,25636,0,2820,19:00,2063,12612,127,13.01.2014
20,11317,24837,0,2243,20:00,2068,12161,133,13.01.2014
21,11328,24427,0,2462,21:00,2058,11463,131,13.01.2014
22,11339,23718,0,2154,22:00,2061,11177,130,13.01.2014
23,11295,22218,0,1678,23:00,2063,10157,124,13.01.2014
24,11315,21192,-92,972,24,2072,9785,126,13.01.2014
0,11315,21192,-92,972,00:00,2072,9785,126,14.01.2014
1,11243,20171,-92,628,01:00,1998,9145,244,14.01.2014
2,11260,19397,-707,485,02:00,1985,9107,247,14.01.2014
3,11235,19129,-707,350,03:00,1984,9131,248,14.01.2014
4,11258,19144,-703,247,04:00,1992,9163,248,14.01.2014
5,11267,19304,-480,288,05:00,1988,9226,204,14.01.2014
6,11238,20398,0,799,06:00,1989,9203,195,14.01.2014
7,11281,22035,0,1021,07:00,2087,10568,178,14.01.2014
8,11288,23060,0,1876,08:00,2078,10676,191,14.01.2014
9,11277,23678,0,1798,09:00,2079,11340,246,14.01.2014
10,11303,23931,0,2003,10:00,2077,11472,303,14.01.2014
11,11302,24080,0,2628,11:00,2075,10941,382,14.01.2014
12,11258,23802,0,2526,12:00,2073,10880,375,14.01.2014
13,11302,23856,0,2651,13:00,2071,10622,356,14.01.2014
14,11308,23929,0,2705,14:00,2067,10679,208,14.01.2014
15,11308,23883,0,2708,15:00,2084,10609,110,14.01.2014
16,11303,24281,0,3040,16:00,2078,10852,68,14.01.2014
17,11285,25537,0,3973,17:00,2083,10986,46,14.01.2014
18,11295,25972,0,4007,18:00,2077,11563,47,14.01.2014
19,11318,25551,0,3764,19:00,2085,11539,49,14.01.2014
20,11308,25037,0,2877,20:00,2084,11860,50,14.01.2014
21,11308,24786,0,2582,21:00,2079,11869,54,14.01.2014
22,11316,23950,0,2073,22:00,2081,11801,56,14.01.2014
23,11338,22505,0,1423,23:00,2084,10896,59,14.01.2014
24,11338,21249,-92,1036,24,2080,9969,64,14.01.2014
0,11338,21249,-92,1036,00:00,2080,9969,64,15.01.2014
1,11315,20052,-92,639,01:00,2003,9275,69,15.01.2014
2,11317,19672,-707,562,02:00,1996,9279,71,15.01.2014
3,11321,19307,-707,268,03:00,2002,9245,53,15.01.2014
4,11304,19395,-699,257,04:00,1995,9312,65,15.01.2014
5,11308,19651,-480,305,05:00,1990,9326,99,15.01.2014
6,11283,20549,0,737,06:00,1994,9382,103,15.01.2014
7,11340,22377,0,1837,07:00,2040,10021,110,15.01.2014
8,11332,23652,0,2350,08:00,2042,10877,127,15.01.2014
9,11333,24553,0,2659,09:00,2052,11333,235,15.01.2014
10,11326,24756,0,2441,10:00,2038,11851,315,15.01.2014
11,11330,24901,0,2230,11:00,2036,12160,422,15.01.2014
12,11311,24742,0,2040,12:00,2029,12129,436,15.01.2014
13,11310,24486,0,2181,13:00,2032,11874,413,15.01.2014
14,11358,24708,0,2165,14:00,2037,12029,344,15.01.2014
15,11330,24702,0,2365,15:00,2022,11995,244,15.01.2014
16,11309,25299,0,2857,16:00,2026,12064,201,15.01.2014
17,11303,26455,0,3854,17:00,2028,12231,165,15.01.2014
18,11339,26507,0,3821,18:00,2030,12288,187,15.01.2014
19,11297,26095,0,3364,19:00,2034,12131,187,15.01.2014
20,11285,25499,0,3148,20:00,2052,11939,188,15.01.2014
21,11269,24984,0,2802,21:00,2050,11849,189,15.01.2014
22,11298,24018,0,2102,22:00,2047,11705,192,15.01.2014
23,11284,22445,0,1664,23:00,2051,10321,191,15.01.2014
24,11352,21018,-92,781,24,2051,9786,229,15.01.2014
0,11352,21018,-92,781,00:00,2051,9786,229,16.01.2014
1,11330,19957,-92,381,01:00,1996,9071,234,16.01.2014
2,11338,19500,-707,486,02:00,1998,8996,231,16.01.2014
3,11355,19126,-703,290,03:00,2003,8923,233,16.01.2014
4,11350,19127,-703,269,04:00,1999,8914,231,16.01.2014
5,11322,19459,-480,273,05:00,2000,8911,233,16.01.2014
6,11312,20448,0,699,06:00,1978,9084,229,16.01.2014
7,11341,22040,0,1307,07:00,2044,10196,221,16.01.2014
8,11365,23389,0,1820,08:00,2040,11031,227,16.01.2014
9,11339,24564,0,2556,09:00,2048,11468,234,16.01.2014
10,11360,25015,0,2664,10:00,2050,11798,240,16.01.2014
11,11351,25163,0,2684,11:00,2045,11957,237,16.01.2014
12,11345,25078,0,2447,12:00,2051,12065,257,16.01.2014
13,11341,25043,0,2547,13:00,2049,12062,222,16.01.2014
14,11347,25040,0,2522,14:00,2053,12077,235,16.01.2014
15,11342,25027,0,2400,15:00,2050,12209,202,16.01.2014
16,11370,25649,0,2781,16:00,2053,12342,129,16.01.2014
17,11367,26118,0,3555,17:00,2044,12265,122,16.01.2014
18,11351,26321,0,3564,18:00,2042,12376,124,16.01.2014
19,11318,26015,0,3785,19:00,2036,11825,110,16.01.2014
20,11335,25565,0,3156,20:00,2055,11817,107,16.01.2014
21,11307,24861,0,2413,21:00,2067,12103,86,16.01.2014
22,11331,24036,0,1971,22:00,2072,11976,81,16.01.2014
23,11354,22324,0,1295,23:00,2073,10642,95,16.01.2014
24,11339,20943,-92,682,24,2087,9938,89,16.01.2014
0,11339,20943,-92,682,00:00,2087,9938,89,17.01.2014
1,11352,20032,-492,337,01:00,2096,9521,68,17.01.2014
2,11349,19342,-707,341,02:00,2088,9227,68,17.01.2014
3,11327,19278,-707,129,03:00,2086,9169,92,17.01.2014
4,11332,19222,-699,124,04:00,2087,9160,83,17.01.2014
5,11342,19569,-480,238,05:00,2085,9158,83,17.01.2014
6,11343,20377,0,490,06:00,2088,9321,86,17.01.2014
7,11300,22268,0,1934,07:00,2078,9881,86,17.01.2014
8,11320,23488,0,1853,08:00,2080,11280,95,17.01.2014
9,11330,24619,0,2328,09:00,2089,11823,137,17.01.2014
10,11326,24995,0,2452,10:00,2086,12002,182,17.01.2014
11,11337,25236,0,2420,11:00,2083,12192,200,17.01.2014
12,11316,24947,0,2116,12:00,2093,12425,187,17.01.2014
13,11344,25003,0,2546,13:00,2085,11921,201,17.01.2014
14,11326,25035,0,2494,14:00,2085,12119,180,17.01.2014
15,11300,25029,0,2385,15:00,2084,12346,117,17.01.2014
16,11325,25438,0,2663,16:00,2090,12414,60,17.01.2014
17,11311,26324,0,3581,17:00,2085,12491,57,17.01.2014
18,11322,26590,0,3959,18:00,2091,12167,59,17.01.2014
19,11331,25978,0,3578,19:00,2084,12031,69,17.01.2014
20,11327,25360,0,2886,20:00,2084,11943,74,17.01.2014
21,11325,24948,0,2778,21:00,2091,11591,74,17.01.2014
22,11310,24281,0,2095,22:00,2089,11598,71,17.01.2014
23,11317,22596,0,1062,23:00,2089,11263,69,17.01.2014
24,11329,21305,-92,732,24,2092,10502,88,17.01.2014
0,11329,21305,-92,732,00:00,2092,10502,88,18.01.2014
1,11328,20371,-488,747,01:00,2013,9634,115,18.01.2014
2,11316,19511,-488,251,02:00,1999,9284,117,18.01.2014
3,11298,19153,-707,230,03:00,1997,9161,78,18.01.2014
4,11330,19345,-703,275,04:00,1997,9131,80,18.01.2014
5,11323,19348,-699,288,05:00,2002,9147,112,18.01.2014
6,11335,19845,-392,420,06:00,2000,9233,158,18.01.2014
7,11336,20409,0,626,07:00,2079,9415,155,18.01.2014
8,11317,20972,0,936,08:00,2081,9431,172,18.01.2014
9,11353,22457,0,2034,09:00,2079,9747,184,18.01.2014
10,11319,23163,0,2240,10:00,2082,10302,215,18.01.2014
11,11333,23672,0,2209,11:00,2084,10917,231,18.01.2014
12,11333,23729,0,2306,12:00,2087,10890,197,18.01.2014
